  scopesDump:
    SCOPE 0x55af4350d218: TOP.tb_top_verilator.riscv_wrapper_i.ram_i.dp_ram_i
       DPI-EXPORT 0x55af41523930: read_byte
       DPI-EXPORT 0x55af41523950: write_byte

[CORE] Core settings: PULP_SECURE =           0, N_PMP_ENTRIES =          16, N_PMP_CFG           4
finished dumping memory
Start Running!
Writing: 0000d04f
Writing: 0000d04f
Writing: 0000d04f
Writing: 0000d04e
Writing: 0000d04e
Writing: 0000d04e
Writing: 0000d04d
Writing: 0000d04d
Writing: 0000d04c
Writing: 0000d04c
Writing: 0000d04b
Writing: 0000d04b
Writing: 0000d04b
Writing: 0000d04a
Writing: 0000d04a
Writing: 0000d04a
Writing: 0000d049
Writing: 0000d049
Writing: 0000d048
Writing: 0000d048
Writing: 0000d047
Writing: 0000d047
Writing: 0000d047
Writing: 0000d046
Writing: 0000d046
Writing: 0000d046
Writing: 0000d045
Writing: 0000d045
Writing: 0000d044
Writing: 0000d044
Writing: 0000d044
Writing: 00000444
Writing: 0000d050
Writing: 0000d050
Writing: 0000d050
Writing: 0000d054
Writing: 0000d054
Writing: 0000d058
Writing: 0000d058
Writing: 0000d058
Writing: 0000d05c
Writing: 0000d05c
Writing: 0000d05c
Writing: 0000d060
Writing: 0000d060
Writing: 0000d060
Writing: 0000d060
Writing: 0000d064
Writing: 0000d064
Writing: 0000d068
Writing: 0000d068
Writing: 0000d068
Writing: 0000d06c
Writing: 0000d06c
Writing: 0000d06c
Writing: 0000d070
Writing: 0000d070
Writing: 0000d070
Writing: 0000d070
Writing: 0000d074
Writing: 0000d074
Writing: 0000d078
Writing: 0000d078
Writing: 0000d078
Writing: 0000d07c
Writing: 0000d07c
Writing: 0000d07c
Writing: 0000d080
Writing: 0000c7c0
Writing: 0000c7c0
Writing: 0000c7c0
Writing: 0000c7c8
Writing: 0000c7c8
Writing: 0000c7c8
Writing: 0000c7c4
Writing: 0000c7cc
Writing: 0000c7cc
Writing: 0000c7cc
Writing: 00000000
Writing: 0000d878
Writing: 0000d878
Writing: 0000d878
Writing: 0000d874
Writing: 0000d874
Writing: 0000c000
Writing: 0000d870
Writing: 0000d870
Writing: 0000d870
Writing: 0000d87c
Writing: 0000d87c
Writing: 00000402
Writing: 0000d87c
Writing: 0000d87c
Writing: 0000d87c
Writing: 000000da
Writing: 0000d864
Writing: 0000d864
Writing: 0000d864
Writing: 0000d858
Writing: 0000d858
Writing: 0000d85c
Writing: 0000d85c
Writing: 0000d854
Writing: 0000d854
Writing: 0000d860
Writing: 0000d860
Writing: 0000d868
Writing: 0000d868
Writing: 0000d86c
Writing: 0000d86c
Writing: 0000d84c
Writing: 0000d84c
Writing: 0000d84c
Writing: 0000d83c
Writing: 0000d83c
Writing: 0000d83c
Writing: 000004b6
Writing: 0000d82c
Writing: 0000d82c
Writing: 0000d82c
Writing: 0000d824
Writing: 0000d824
Writing: 0000d824
Writing: 0000d820
Writing: 0000d820
Writing: 0000d81c
Writing: 0000d81c
Writing: 0000d814
Writing: 0000d814
Writing: 0000c9cc
Writing: 0000d828
Writing: 0000d828
Writing: 0000d828
Writing: 0000d818
Writing: 0000d818
Writing: 0000d810
Writing: 0000d810
Writing: 0000d810
Writing: 0000d80c
Writing: 0000d80c
Writing: 0000d80c
Writing: 0000d808
Writing: 0000d808
Writing: 0000d804
Writing: 0000d804
Writing: 0000d800
Writing: 0000d800
Writing: 0000d800
Writing: 0000d7fc
Writing: 0000d7fc
Writing: 0000d7fc
Writing: 0000c678
Writing: 0000d698
Writing: 0000d698
Writing: 0000d698
Writing: 00000658
Writing: 0000d688
Writing: 0000d688
Writing: 0000d688
Writing: 0000d730
Writing: 0000d730
Writing: 0000d730
Writing: 0000d734
Writing: 0000d734
Writing: 0000d738
Writing: 0000d738
Writing: 0000d73c
Writing: 0000d73c
Writing: 0000c678
Writing: 0000d64c
Writing: 0000d64c
Writing: 0000d64c
Writing: 0000d648
Writing: 0000d648
Writing: 0000d648
Writing: 00002086
Writing: 0000c6b4
Writing: 0000c6b4
Writing: 0000c6b4
Writing: 00000003
Writing: 0000c95c
Writing: 0000c95c
Writing: 0000c95c
Writing: 0000c964
Writing: 0000c960
Writing: 0000c960
Writing: 0000c960
Writing: 0000c958
Writing: 0000c958
Writing: 0000d638
Writing: 0000d638
Writing: 0000d638
Writing: 0000d63c
Writing: 0000d63c
Writing: 0000d63c
Writing: 0000c964
Writing: 0000c970
Writing: 0000c970
Writing: 0000c970
Writing: 0000c972
Writing: 0000c972
Writing: 0000c964
Writing: 0000c964
Writing: 0000c964
Writing: 0000c968
Writing: 0000c968
Writing: 0000c968
Writing: 0000c96c
Writing: 0000c96c
Writing: 0000c9c8
Writing: 0000c9c8
Writing: 0000c974
Writing: 0000c974
Writing: 0000c978
Writing: 0000c978
Writing: 0000c978
Writing: 0000c97c
Writing: 0000c97c
Writing: 0000c97c
Writing: 00000008
Writing: 0000c9c7
Writing: 0000c9c7
Writing: 0000c9c7
Writing: 0000c9c6
Writing: 0000c9c6
Writing: 0000c9c6
Writing: 0000c9c5
Writing: 0000c9c5
Writing: 0000c9c4
Writing: 0000c9c4
Writing: 0000c9c3
Writing: 0000c9c3
Writing: 0000c9c3
Writing: 0000c9c2
Writing: 0000c9c2
Writing: 0000c9c2
Writing: 0000c9c1
Writing: 0000c9c1
Writing: 0000c9c0
Writing: 0000c9c0
Writing: 0000c9c0
Writing: 00000444
Writing: 0000c984
Writing: 0000c984
Writing: 0000c984
Writing: 00005000
Writing: 0000c988
Writing: 0000c988
Writing: 0000c988
Writing: 00005000
Writing: 0000c98c
Writing: 0000c98c
Writing: 0000c98c
Writing: 00005000
Writing: 0000c980
Writing: 0000c980
Writing: 0000c980
Writing: 0000c990
Writing: 0000c990
Writing: 0000d638
Writing: 0000d638
Writing: 0000d638
Writing: 0000d63c
Writing: 0000d63c
Writing: 0000d63c
Writing: 0000c9cc
Writing: 0000c9d8
Writing: 0000c9d8
Writing: 0000c9d8
Writing: 0000c9da
Writing: 0000c9da
Writing: 0000c9cc
Writing: 0000c9cc
Writing: 0000c9cc
Writing: 0000c9d0
Writing: 0000c9d0
Writing: 0000c9d0
Writing: 0000c9d4
Writing: 0000c9d4
Writing: 0000ca30
Writing: 0000ca30
Writing: 0000c9dc
Writing: 0000c9dc
Writing: 0000c9e0
Writing: 0000c9e0
Writing: 0000c9e0
Writing: 0000c9e4
Writing: 0000c9e4
Writing: 0000c9e4
Writing: 00000008
Writing: 0000ca2f
Writing: 0000ca2f
Writing: 0000ca2f
Writing: 0000ca2e
Writing: 0000ca2e
Writing: 0000ca2e
Writing: 0000ca2d
Writing: 0000ca2d
Writing: 0000ca2c
Writing: 0000ca2c
Writing: 0000ca2b
Writing: 0000ca2b
Writing: 0000ca2b
Writing: 0000ca2a
Writing: 0000ca2a
Writing: 0000ca2a
Writing: 0000ca29
Writing: 0000ca29
Writing: 0000ca28
Writing: 0000ca28
Writing: 0000ca28
Writing: 00000444
Writing: 0000c9ec
Writing: 0000c9ec
Writing: 0000c9ec
Writing: 00005000
Writing: 0000c9f0
Writing: 0000c9f0
Writing: 0000c9f0
Writing: 00005000
Writing: 0000c9f4
Writing: 0000c9f4
Writing: 0000c9f4
Writing: 00005000
Writing: 0000c9e8
Writing: 0000c9e8
Writing: 0000c9e8
Writing: 0000c9f8
Writing: 0000c9f8
Writing: 0000d638
Writing: 0000d638
Writing: 0000d638
Writing: 0000d63c
Writing: 0000d63c
Writing: 0000d63c
Writing: 0000ca34
Writing: 0000ca40
Writing: 0000ca40
Writing: 0000ca40
Writing: 0000ca42
Writing: 0000ca42
Writing: 0000ca34
Writing: 0000ca34
Writing: 0000ca34
Writing: 0000ca38
Writing: 0000ca38
Writing: 0000ca38
Writing: 0000ca3c
Writing: 0000ca3c
Writing: 0000ca98
Writing: 0000ca98
Writing: 0000ca44
Writing: 0000ca44
Writing: 0000ca48
Writing: 0000ca48
Writing: 0000ca48
Writing: 0000ca4c
Writing: 0000ca4c
Writing: 0000ca4c
Writing: 00000008
Writing: 0000ca97
Writing: 0000ca97
Writing: 0000ca97
Writing: 0000ca96
Writing: 0000ca96
Writing: 0000ca96
Writing: 0000ca95
Writing: 0000ca95
Writing: 0000ca94
Writing: 0000ca94
Writing: 0000ca93
Writing: 0000ca93
Writing: 0000ca93
Writing: 0000ca92
Writing: 0000ca92
Writing: 0000ca92
Writing: 0000ca91
Writing: 0000ca91
Writing: 0000ca90
Writing: 0000ca90
Writing: 0000ca90
Writing: 00000444
Writing: 0000ca54
Writing: 0000ca54
Writing: 0000ca54
Writing: 00005000
Writing: 0000ca58
Writing: 0000ca58
Writing: 0000ca58
Writing: 00005000
Writing: 0000ca5c
Writing: 0000ca5c
Writing: 0000ca5c
Writing: 00005000
Writing: 0000ca50
Writing: 0000ca50
Writing: 0000ca50
Writing: 0000ca60
Writing: 0000ca60
Writing: 0000c6b0
Writing: 0000c6b0
Writing: 0000c6b0
Writing: 0000c9d8
Writing: 0000c9d8
Writing: 0000c9d8
Writing: 0000ca30
Writing: 0000ca30
Writing: 0000ca30
Writing: 0000d644
Writing: 0000d644
Writing: 0000d644
Writing: 0000c678
Writing: 0000d648
Writing: 0000d648
Writing: 0000d648
Writing: 0000d64c
Writing: 0000d64c
Writing: 0000c9cc
Writing: 0000d638
Writing: 0000d638
Writing: 0000d638
Writing: 0000d63c
Writing: 0000d63c
Writing: 0000d634
